cohort_trait	phenotype	full_trait_name	category	trait_outcome	is_subset	n	public	agreement_or_registration	download_url	reference
MAGIC_lnHOMAIR	Insulin_resistance	ln_homeostatic_model_assessment_indices_of_insulin_resistance	metabolic	quantitative	no	46186	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ln_HOMA-IR.txt	http://ukpmc.ac.uk/abstract/MED/20081858
MAGIC_lnfastingProinsulin	Fasting_proinsulin_levels	ln_fasting_proinsulin_levels	metabolic	quantitative	no	10701	yes	no	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ln_fastingProinsulin.txt.gz	http://ukpmc.ac.uk/abstract/MED/21873549
Okada_Rheumatoid_arthritis	Rheumatoid_arthritis	rheumatoid_arthritis	immunological	binary	no	103638	yes	yes	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/24390342
PGCCROSS	Cross_psychiatric_disorders	cross_psychiatric_disorder	psychiatric	binary	no	61220	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.cross.full.2013-03.zip	http://www.ncbi.nlm.nih.gov/pubmed/23453885
PGCCROSS_ADD	Attention_deficit_disorder	attention_deficit_hyperactivity_disorder	psychiatric	binary	no	61220	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.cross.full.2013-03.zip	http://www.ncbi.nlm.nih.gov/pubmed/23453885
PGCCROSS_AUT	Autism_spectrum_disorder	autism	psychiatric	binary	no	61220	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.cross.full.2013-03.zip	http://www.ncbi.nlm.nih.gov/pubmed/23453885
PGCCROSS_MDD	Major_depressive_disorder	major_mood_disorder	psychiatric	binary	no	61220	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.cross.full.2013-03.zip	http://www.ncbi.nlm.nih.gov/pubmed/23453885
PGC_BIP	Bipolar_disorder	bipolar_disorder	psychiatric	binary	no	16731	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/pgc.bip.2012-04.zip	http://www.ncbi.nlm.nih.gov/pubmed/21926972
PGC_SCZ	Schizophrenia	schizophrenia	psychiatric	binary	no	150064	yes	no	https://www.med.unc.edu/pgc/files/resultfiles/scz2.snp.results.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/25056061
Pubertal_growth_10F	Pubertal_height_female	height_SDS_females_at_age10	anthropometric	quantitative	yes	6974	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_10F.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_10F_12M_combined	Pubertal_height	height_SDS_combined	anthropometric	quantitative	no	13960	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_10F_12M_combined.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_12M	Pubertal_height_male	height_SDS_males_at_age12	anthropometric	quantitative	yes	6986	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_12M.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PGF	Pubertal_growth_female	standardized_difference_in_height_betwee_age8_adult_female	anthropometric	quantitative	yes	5756	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PGF.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PGF_PGM_combined	Pubertal_growth	standardized_difference_in_height_betwee_age8_adult_combined	anthropometric	quantitative	no	10799	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PGF_PGM_combined.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PGM	Pubertal_growth_male	standardized_difference_in_height_betwee_age8_adult_male	anthropometric	quantitative	yes	5043	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PGM.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PTF	Pubertal_growth_total_female	standardized_difference_in_height_between_age14_and_adult_female	anthropometric	quantitative	yes	4946	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PTF.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PTF_PTM_combined	Pubertal_growth_total	standardized_difference_in_height_between_age14_and_adult_combined	anthropometric	quantitative	no	9228	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PTF_PTM_combined.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Pubertal_growth_PTM	Pubertal_growth_total_male	standardized_difference_in_height_between_age14_and_adult_male	anthropometric	quantitative	yes	4282	yes	no	http://egg-consortium.org/downloads/Pubertal_growth_PTM.txt.gz	http://www.ncbi.nlm.nih.gov/pubmed/23449627
Stahl_Rheumatoid_arthritis	Rheumatoid_arthritis_discovery	rheumatoid_arthritis	immunological	binary	no	25708	yes	no	https://www.immunobase.org/page/Welcome/display	http://www.ncbi.nlm.nih.gov/pubmed/20453842
UC_EUR	Ulcerative_colitis_discovery	ulcerative_colitis	immunological	binary	no	96486	yes	no	http://www.ibdgenetics.org/downloads.html	http://www.nature.com/ng/journal/v47/n9/abs/ng.3359.html
